Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Mo Layton\laytomo01,1972,1978,G,6-1,180,December 24 1948,University of Southern California
T.J. Leaf\leaftj01,2018,2019,F,6-10,225,April 30 1997,University of California Los Angeles
Manny Leaks\leaksma01,1969,1974,C-F,6-8,225,November 27 1945,Niagara University
Hal Lear\learha01,1957,1957,G,6-0,163,January 31 1935,Temple University
Allen Leavell\leaveal01,1980,1989,G,6-1,170,May 27 1957,Oklahoma City University
Jeff Lebo\leboje01,1990,1990,G,6-2,180,October 5 1966,University of North Carolina
Eric Leckner\leckner01,1989,1997,C-F,6-11,265,May 27 1966,University of Wyoming
Ricky Ledo\ledori01,2014,2015,G,6-7,195,September 10 1992,
Butch Lee\leebu01,1979,1980,G,6-0,185,December 5 1956,Marquette University
Clyde Lee\leecl01,1967,1976,F-C,6-10,205,March 14 1944,Vanderbilt University
Courtney Lee\leeco01,2009,2019,G,6-5,215,October 3 1985,Western Kentucky University
Damion Lee\leeda03,2018,2019,G,6-6,210,October 21 1992,Drexel University University of Louisville
David Lee\leeda01,1968,1969,F,6-7,225,March 31 1942,University of San Francisco
David Lee\leeda02,2006,2017,F,6-9,245,April 29 1983,University of Florida
Dick Lee\leedi01,1968,1968,F,6-6,,,University of Washington
Doug Lee\leedo01,1992,1995,G-F,6-5,200,October 24 1964,Texas A&M University Purdue University
George Lee\leege01,1961,1968,F-G,6-4,200,November 23 1936,University of Michigan
Greg Lee\leegr01,1975,1976,G,6-3,190,December 12 1951,University of California Los Angeles
Keith Lee\leeke01,1986,1989,F-C,6-10,215,December 28 1962,University of Memphis
Kurk Lee\leeku01,1991,1991,G,6-3,190,June 3 1967,Western Kentucky University Towson University
Malcolm Lee\leema01,2012,2015,G,6-5,200,May 22 1990,University of California Los Angeles
Rock Lee\leero02,1982,1982,C,6-10,220,May 1 1955,University of California San Diego State University
Ron Lee\leero01,1977,1982,G,6-4,193,November 2 1952,University of Oregon
Russ Lee\leeru01,1973,1975,G-F,6-5,185,January 27 1950,Marshall University
Ed Leede\leedeed01,1950,1951,F-G,6-3,185,July 17 1927,Dartmouth College
Hank Lefkowitz\lefkoha01,1947,1947,F,6-2,190,August 31 1923,Case Western Reserve University
Tim Legler\legleti01,1990,2000,G,6-4,200,December 26 1966,La Salle University
George Lehmann\lehmage01,1968,1974,G,6-0,180,May 1 1942,Campbell University
Walt Lemon\lemonwa01,2018,2019,G,6-3,180,July 26 1992,Bradley University
Alex Len\lenal01,2014,2019,C,7-1,250,June 16 1993,University of Maryland
Voshon Lenard\lenarvo01,1996,2006,G,6-4,205,May 14 1973,University of Minnesota
Leary Lentz\lentzle01,1968,1969,F,6-6,200,February 23 1945,University of Houston
Gary Leonard\leonaga01,1990,1992,C,7-1,250,February 16 1967,University of Missouri
Kawhi Leonard\leonaka01,2012,2019,F,6-7,230,June 29 1991,San Diego State University
Meyers Leonard\leoname01,2013,2019,C-F,7-1,255,February 27 1992,University of Illinois at Urbana-Champaign
Slick Leonard*\leonasl01,1957,1963,G,6-3,185,July 17 1932,Indiana University
Jim Les\lesji01,1989,1995,G,5-11,165,August 18 1963,Cleveland State University Bradley University
Travis Leslie\leslitr01,2012,2012,G,6-4,205,March 29 1990,University of Georgia
Ronnie Lester\lestero01,1981,1986,G,6-2,175,January 1 1959,University of Iowa
Clifford Lett\lettcl01,1990,1991,G,6-3,170,December 23 1965,University of Florida
Jon Leuer\leuerjo01,2012,2019,F,6-10,228,May 14 1989,University of Wisconsin
Andrew Levane\levanan01,1949,1953,F-G,6-2,190,April 11 1920,St. John's University
Fat Lever\leverfa01,1983,1994,G,6-3,170,August 18 1960,Arizona State University
Caris LeVert\leverca01,2017,2019,G-F,6-7,204,August 25 1994,University of Michigan
Cliff Levingston\levincl01,1983,1995,F,6-8,210,January 4 1961,Wichita State University
Bobby Lewis\lewisbo01,1968,1971,G,6-3,175,March 20 1945,University of North Carolina
Cedric Lewis\lewisce01,1996,1996,F-C,6-10,235,September 24 1969,University of Maryland
Freddie Lewis\lewisfr01,1949,1950,F-G,6-2,195,January 6 1921,Eastern Kentucky University
Freddie Lewis\lewisfr02,1967,1977,G,6-0,175,July 1 1943,Arizona State University
Grady Lewis\lewisgr01,1947,1949,F-C,6-7,215,March 25 1917,University of Oklahoma
Martin Lewis\lewisma01,1996,1997,F,6-5,210,April 28 1975,Butler County Community College Seward County Community College
Mike Lewis\lewismi01,1969,1974,C-F,6-8,225,March 18 1946,Duke University
Quincy Lewis\lewisqu01,2000,2004,F,6-7,215,June 26 1977,University of Minnesota
Ralph Lewis\lewisra01,1988,1990,F-G,6-6,200,March 28 1963,La Salle University
Rashard Lewis\lewisra02,1999,2014,F,6-10,215,August 8 1979,
Reggie Lewis\lewisre01,1988,1993,G-F,6-7,195,November 21 1965,Northeastern University
Marcus Liberty\liberma01,1991,1994,F,6-8,205,October 27 1968,University of Illinois at Urbana-Champaign
Todd Lichti\lichtto01,1990,1994,G-F,6-4,205,January 8 1967,Stanford University
Barry Liebowitz\lieboba01,1968,1968,G,6-2,180,September 10 1945,Long Island University
DeAndre Liggins\liggide01,2012,2018,G,6-6,209,March 31 1988,University of Kentucky
Bill Ligon\ligonbi01,1975,1975,G,6-4,180,May 29 1952,Vanderbilt University
Goose Ligon\ligongo01,1968,1974,F-C,6-7,210,February 22 1944,
Damian Lillard\lillada01,2013,2019,G,6-3,195,July 15 1990,Weber State University
Jeremy Lin\linje01,2011,2019,G,6-3,200,August 23 1988,Harvard University
Steve Lingenfelter\lingest01,1983,1984,F,6-9,225,June 10 1958,University of Minnesota South Dakota State University
Alton Lister\listeal01,1982,1998,C-F,7-0,240,October 1 1958,Arizona State University
Samuel Little\littlsa01,1970,1970,G,6-0,180,March 29 1946,Delta State University
Gene Littles\littlge01,1970,1975,G,6-0,160,June 29 1943,High Point University
Randy Livingston\livinra01,1997,2007,G,6-4,209,April 2 1975,Louisiana State University
Shaun Livingston\livinsh01,2005,2019,G,6-7,192,September 11 1985,
Ron Livingstone\livinro01,1950,1951,C,6-10,220,October 9 1925,University of Wyoming
Horacio Llamas Grey\llamaho01,1997,1998,C,6-11,285,July 17 1973,Grand Canyon University
Bobby Lloyd\lloydbo01,1968,1969,G,6-2,184,January 3 1946,Rutgers University
Chuck Lloyd\lloydch01,1971,1971,C-F,6-8,220,May 22 1947,Yankton College
Earl Lloyd*\lloydea01,1951,1960,F-C,6-5,200,April 3 1928,West Virginia State University
Lewis Lloyd\lloydle01,1982,1990,G-F,6-6,205,February 22 1959,Drake University
Scott Lloyd\lloydsc01,1977,1983,C-F,6-10,230,December 19 1952,Arizona State University
Riney Lochmann\lochmri01,1968,1970,F,6-6,215,May 26 1944,University of Kansas
Bob Lochmueller\lochmbo01,1953,1953,F,6-5,185,June 5 1927,University of Louisville
Rob Lock\lockro01,1989,1989,F,6-9,225,May 22 1966,University of Kentucky
Darrell Lockhart\lockhda01,1984,1984,C,6-9,245,September 14 1960,Auburn University
Ian Lockhart\lockhia01,1991,1991,F,6-8,240,June 25 1967,University of Tennessee
Kevin Loder\loderke01,1982,1984,F-G,6-6,205,March 15 1959,Kentucky State University Alabama State University
Don Lofgran\lofgrdo01,1951,1954,F-C,6-5,200,November 8 1929,University of San Francisco
Zach Lofton\loftoza01,2019,2019,G,6-4,180,November 18 1992,Illinois State University Texas Southern University New Mexico State University
Henry Logan\loganhe01,1969,1970,G,6-0,180,March 14 1946,Western Carolina University
John Logan\loganjo01,1947,1951,G,6-2,175,January 1 1921,Indiana University
Brad Lohaus\lohaubr01,1988,1998,F-C,6-11,230,September 29 1964,University of Iowa
Art Long\longar01,2001,2003,F,6-9,250,October 1 1972,University of Cincinnati
Grant Long\longgr01,1989,2003,F,6-8,225,March 12 1966,Eastern Michigan University
John Long\longjo01,1979,1997,G-F,6-5,195,August 28 1956,University of Detroit Mercy
Paul Long\longpa01,1968,1971,G,6-2,180,February 8 1944,Wake Forest University
Shawn Long\longsh01,2017,2017,C-F,6-9,255,January 29 1993,University of Louisiana at Lafayette
Willie Long\longwi01,1972,1974,F-C,6-8,225,March 1 1950,University of New Mexico
Luc Longley\longllu01,1992,2001,C,7-2,265,January 19 1969,University of New Mexico
Kevon Looney\looneke01,2016,2019,F-C,6-9,220,February 6 1996,University of California Los Angeles
Brook Lopez\lopezbr01,2009,2019,C,7-0,270,April 1 1988,Stanford University
Felipe Lopez\lopezfe01,1999,2002,G,6-5,199,December 19 1974,St. John's University
Raul Lopez\lopezra01,2004,2005,G,6-1,170,April 15 1980,
Robin Lopez\lopezro01,2009,2019,C,7-0,275,April 1 1988,Stanford University
Ryan Lorthridge\lorthry01,1995,1995,G,6-4,190,July 27 1972,Jackson State University
Jim Loscutoff\loscuji01,1956,1964,F,6-5,220,February 4 1930,University of Oregon
Plummer Lott\lottpl01,1968,1969,F-G,6-5,210,December 11 1945,Seattle University
Kevin Loughery\loughke01,1963,1973,G,6-3,190,March 28 1940,Boston College St. John's University
Bob Love\lovebo01,1967,1977,F,6-8,215,December 8 1942,Southern University and A&M College
Kevin Love\loveke01,2009,2019,F,6-10,251,September 7 1988,University of California Los Angeles
Stan Love\lovest01,1972,1975,F,6-9,215,April 9 1949,University of Oregon
Clyde Lovellette*\lovelcl01,1954,1964,C-F,6-9,234,September 7 1929,University of Kansas
Sidney Lowe\lowesi01,1984,1990,G,6-0,195,January 21 1960,North Carolina State University
Charlie Lowery\lowerch01,1972,1972,G,6-3,185,November 12 1949,University of Puget Sound
Kyle Lowry\lowryky01,2007,2019,G,6-1,196,March 25 1986,Villanova University
Jordan Loyd\loydjo01,2019,2019,G,6-4,210,July 27 1993,Furman University University of Indianapolis
Al Lucas\lucasal01,1949,1949,F-G,6-3,195,July 4 1922,Fordham University
Jerry Lucas*\lucasje01,1964,1974,F-C,6-8,230,March 30 1940,Ohio State University
John Lucas\lucasjo01,1977,1990,G,6-3,175,October 31 1953,University of Maryland
Kalin Lucas\lucaska01,2015,2019,G,6-1,195,May 24 1989,Michigan State University
Maurice Lucas\lucasma01,1975,1988,F-C,6-9,215,February 18 1952,Marquette University
John Lucas III\lucasjo02,2006,2017,G,5-11,166,November 21 1982,Baylor University Oklahoma State University
Ted Luckenbill\luckete01,1962,1963,F,6-6,205,July 27 1939,University of Houston
Tyronn Lue\luety01,1999,2009,G,6-0,175,May 3 1977,University of Nebraska
Jim Luisi\luisiji01,1954,1954,G,6-2,180,November 2 1928,St. Francis College
Al Lujack\lujacal01,1947,1947,F,6-3,220,October 5 1920,Georgetown University
Phil Lumpkin\lumpkph01,1975,1976,G,6-0,165,December 20 1951,Miami University
Ray Lumpp\lumppra01,1949,1953,G,6-1,178,July 11 1923,New York University
Timothe Luwawu-Cabarrot\luwawti01,2017,2019,F,6-6,210,May 9 1995,
Tyler Lydon\lydonty01,2018,2019,F,6-10,225,April 9 1996,Syracuse University
Trey Lyles\lylestr01,2016,2019,F,6-10,234,November 5 1995,University of Kentucky
R.B. Lynam\lynamrb01,1968,1968,G,6-1,190,,Oklahoma Baptist University
George Lynch\lynchge01,1994,2005,F,6-8,218,September 3 1970,University of North Carolina
Kevin Lynch\lynchke01,1992,1993,G-F,6-5,195,December 24 1968,University of Minnesota
Lonnie Lynn\lynnlo01,1970,1970,F,6-7,215,May 24 1943,Wilberforce University
Mike Lynn\lynnmi01,1970,1971,F,6-7,215,November 25 1945,University of California Los Angeles
Sheldon Mac\mcclesh01,2017,2017,G,6-5,200,December 21 1992,University of Miami
Mike Macaluso\macalmi01,1974,1974,F,6-5,210,July 20 1951,Canisius College
Ed Macauley*\macaued01,1950,1959,C-F,6-8,185,March 22 1928,Saint Louis University
Todd MacCulloch\maccuto01,2000,2003,C,7-0,280,January 27 1976,University of Washington
Ronnie MacGilvray\macgiro01,1955,1955,G,6-2,185,July 20 1930,St. John's University
Scott Machado\machasc01,2013,2019,G,6-1,205,June 8 1990,Iona College
Arvydas Macijauskas\macijar01,2006,2006,G,6-4,214,January 19 1980,
Ollie Mack\mackol01,1980,1982,G,6-3,185,June 6 1957,East Carolina University
Sam Mack\macksa01,1993,2002,F-G,6-7,220,May 26 1970,Iowa State University Tyler Junior College University of Houston
Shelvin Mack\macksh01,2012,2019,G,6-3,203,April 22 1990,Butler University
Malcolm Mackey\mackema01,1994,1994,F-C,6-9,248,July 11 1970,Georgia Institute of Technology
Rudy Macklin\macklru01,1982,1984,F-G,6-7,205,February 19 1958,Louisiana State University
Vernon Macklin\macklve01,2012,2012,F,6-10,227,September 20 1986,Georgetown University University of Florida
Johnny Macknowski\macknjo01,1950,1951,G-F,6-0,180,January 7 1923,Seton Hall University
Don MacLean\macledo01,1993,2001,F,6-10,235,January 16 1970,University of California Los Angeles
Daryl Macon\maconda01,2019,2019,G,6-3,185,November 29 1995,University of Arkansas
Mark Macon\maconma01,1992,1999,G,6-5,185,April 14 1969,Temple University
J.P. Macura\macurjp01,2019,2019,G,6-5,205,June 5 1995,Xavier University
Kyle Macy\macyky01,1981,1987,G,6-3,175,April 9 1957,Purdue University University of Kentucky
Jack Maddox\maddoja01,1949,1949,F-G,6-3,185,December 10 1919,West Texas A&M University
Tito Maddox\maddoti01,2003,2003,G,6-4,190,June 7 1981,California State University Fresno
Gerald Madkins\madkige01,1994,1998,G,6-4,200,April 18 1969,University of California Los Angeles
Mark Madsen\madsema01,2001,2009,F,6-9,240,January 28 1976,Stanford University
Norm Mager\magerno01,1951,1951,F,6-5,185,March 23 1926,City College of New York
Josh Magette\magetjo01,2018,2018,G,6-1,160,November 28 1989,Alabama - Huntsville
Corey Maggette\maggeco01,2000,2013,F,6-6,218,November 12 1979,Duke University
Dave Magley\magleda01,1983,1983,F,6-8,202,November 24 1959,University of Kansas
Jamaal Magloire\magloja01,2001,2012,C,6-11,259,May 21 1978,University of Kentucky
Randolph Mahaffey\mahafra01,1968,1971,F,6-7,210,September 28 1945,Clemson University
Ian Mahinmi\mahinia01,2008,2019,C,6-11,262,November 5 1986,
John Mahnken\mahnkjo01,1947,1953,C,6-8,220,June 16 1922,Georgetown University
Brian Mahoney\mahonbr01,1973,1973,G,6-3,175,December 17 1948,Manhattan College
Mo Mahoney\mahonmo01,1953,1954,F,6-2,205,November 20 1927,Brown University
Rick Mahorn\mahorri01,1981,1999,C-F,6-10,240,September 21 1958,Hampton University
Dan Majerle\majerda01,1989,2002,G-F,6-6,215,September 9 1965,Central Michigan University
Renaldo Major\majorre01,2007,2007,F,6-7,200,May 7 1982,South Plains College California State University Fresno
Thon Maker\makerth01,2017,2019,F-C,7-1,221,February 25 1997,
Lionel Malamed\malamli01,1949,1949,G,5-9,150,November 15 1924,City College of New York
Jeff Malone\malonje01,1984,1996,G,6-4,205,June 28 1961,Mississippi State University
Karl Malone*\malonka01,1986,2004,F,6-9,250,July 24 1963,Louisiana Tech University
Moses Malone*\malonmo01,1975,1995,C-F,6-10,215,March 23 1955,
Matt Maloney\malonma01,1997,2003,G,6-3,192,December 6 1971,Vanderbilt University University of Pennsylvania
Steve Malovic\malovst01,1980,1980,F,6-10,230,July 21 1956,University of Southern California San Diego State University
Mike Maloy\maloymi01,1971,1973,F,6-7,215,May 10 1949,Davidson College
Ted Manakas\manakte01,1974,1974,G,6-2,180,February 22 1951,Princeton University
John Mandic\mandijo01,1949,1950,F-C,6-4,205,October 3 1919,Oregon State University
Frank Mangiapane\mangifr01,1947,1947,G,5-10,195,August 5 1925,New York University
Danny Manning\mannida01,1989,2003,F-C,6-10,230,May 17 1966,University of Kansas
Ed Manning\mannied01,1968,1976,F,6-7,210,January 2 1944,Jackson State University
Guy Manning\mannigu01,1968,1969,F,6-6,195,February 4 1944,Prairie View A&M University
Rich Manning\manniri01,1996,1997,C,6-11,253,June 23 1970,Syracuse University University of Washington
Pace Mannion\mannipa01,1984,1989,G,6-7,190,September 22 1960,University of Utah
Nick Mantis\mantini01,1960,1963,G,6-3,190,December 7 1935,Northwestern University
Pete Maravich*\maravpe01,1971,1980,G,6-5,197,June 22 1947,Louisiana State University
Press Maravich\maravpr01,1947,1947,G,6-0,185,August 20 1920,Davis & Elkins College
Devyn Marble\marblde01,2015,2016,G-F,6-6,200,September 21 1992,University of Iowa
Roy Marble\marblro01,1990,1994,G-F,6-6,190,December 13 1966,University of Iowa
Stephon Marbury\marbust01,1997,2009,G,6-2,180,February 20 1977,Georgia Institute of Technology
Sarunas Marciulionis*\marcisa01,1990,1997,G,6-5,200,June 13 1964,
Saul Mariaschin\mariasa01,1948,1948,G,5-11,165,September 1 1924,Harvard University
Jack Marin\marinja01,1967,1977,F-G,6-7,200,October 12 1944,Duke University
Shawn Marion\mariosh01,2000,2015,F,6-7,220,May 7 1978,University of Nevada Las Vegas
Boban Marjanovic\marjabo01,2016,2019,C,7-3,290,August 15 1988,
Lauri Markkanen\markkla01,2018,2019,F-C,7-0,240,May 22 1997,University of Arizona
Damir Markota\markoda01,2007,2007,C,6-10,225,December 26 1985,
Sean Marks\marksse01,1999,2011,F-C,6-10,250,August 23 1975,University of California
Harvey Marlatt\marlaha01,1971,1973,G,6-3,185,August 26 1948,Eastern Michigan University
Jim Marsh\marshji01,1972,1972,F,6-7,215,April 26 1946,University of Southern California
Ricky Marsh\marshri01,1978,1978,G,6-3,200,March 10 1954,Manhattan College
Donny Marshall\marshdo02,1996,2003,F,6-7,230,July 17 1972,University of Connecticut
Donyell Marshall\marshdo01,1995,2009,F,6-9,218,May 18 1973,University of Connecticut
Kendall Marshall\marshke01,2013,2016,G,6-4,200,August 19 1991,University of North Carolina
Rawle Marshall\marshra01,2006,2007,G-F,6-9,190,February 20 1982,Ball State University Oakland University
Tom Marshall\marshto01,1955,1959,F-G,6-4,215,January 6 1931,Western Kentucky University
Vester Marshall\marshve01,1974,1974,F,6-7,200,December 22 1948,University of Oklahoma
Bill Martin\martibi01,1986,1988,F,6-7,205,August 16 1962,Georgetown University
Bob Martin\martibo01,1994,1995,C,7-0,250,October 7 1969,University of Minnesota
Brian Martin\martibr01,1986,1986,F,6-9,212,August 18 1962,University of Kansas
Cartier Martin\martica01,2009,2015,F,6-7,220,November 20 1984,Kansas State University
Cuonzo Martin\marticu01,1996,1997,G-F,6-5,213,September 23 1971,Purdue University
Darrick Martin\martida01,1995,2008,G,5-11,170,March 6 1971,University of California Los Angeles
Dino Martin\martidi01,1947,1948,G,5-8,160,May 25 1920,Georgetown University
Don Martin\martido01,1947,1949,C-F,6-7,210,February 7 1920,Central Missouri State University
Fernando Martin\martife01,1987,1987,C,6-9,220,March 25 1962,
Jarell Martin\martija01,2016,2019,F,6-10,239,May 24 1994,Louisiana State University
Jeff Martin\martije01,1990,1991,G,6-5,195,January 14 1967,Murray State University
Kenyon Martin\martike01,2001,2015,F,6-9,234,December 30 1977,University of Cincinnati
Kevin Martin\martike02,2005,2016,G,6-7,199,February 1 1983,Western Carolina University
LaRue Martin\martila01,1973,1976,C,6-11,208,March 30 1950,Loyola University of Chicago
Maurice Martin\martima01,1987,1988,F-G,6-6,200,July 2 1964,Saint Joseph's University
Phil Martin\martiph01,1955,1955,G,6-3,190,April 2 1928,University of Toledo
Slater Martin*\martisl01,1950,1960,G,5-10,170,October 22 1925,University of Texas at Austin
Whitey Martin\martiwh01,1962,1962,G,6-2,185,April 11 1939,St. Bonaventure University
Jamal Mashburn\mashbja01,1994,2004,F,6-8,240,November 29 1972,University of Kentucky
Al Masino\masinal01,1953,1954,G,5-10,174,February 5 1928,Canisius College
Anthony Mason\masonan01,1990,2003,F,6-7,250,December 14 1966,Tennessee State University
Desmond Mason\masonde01,2001,2010,F,6-7,224,October 11 1977,Oklahoma State University
Frank Mason\masonfr01,2018,2019,G,5-11,190,April 3 1994,University of Kansas
Roger Mason\masonro01,2003,2014,G,6-5,200,September 10 1980,University of Virginia
Tony Massenburg\masseto01,1991,2005,F,6-9,220,July 31 1967,University of Maryland
Eddie Mast\masted01,1971,1973,F-C,6-9,220,October 3 1948,Temple University
Yante Maten\matenya01,2019,2019,F,6-8,240,August 14 1996,University of Georgia
Mangok Mathiang\mathima01,2018,2018,C-F,6-10,230,October 8 1992,University of Louisville
Johnny Mathis\mathijo01,1968,1968,F,6-6,220,July 14 1943,Savannah State University
Wes Matthews\matthwe01,1981,1990,G,6-1,170,August 24 1959,University of Wisconsin
Wesley Matthews\matthwe02,2010,2019,G,6-5,220,October 14 1986,Marquette University
Ariel Maughan\maughar01,1947,1951,F,6-4,190,February 23 1923,Utah State University
Marlon Maxey\maxeyma01,1993,1994,F,6-8,250,February 19 1969,University of Minnesota University of Texas at El Paso
Jason Maxiell\maxieja01,2006,2015,F,6-7,260,February 18 1983,University of Cincinnati
Cedric Maxwell\maxwece01,1978,1988,F,6-8,205,November 21 1955,University of North Carolina at Charlotte
Vernon Maxwell\maxweve01,1989,2001,G,6-4,180,September 12 1965,University of Florida
Don May\maydo01,1969,1975,F,6-4,200,January 3 1946,University of Dayton
Scott May\maysc01,1977,1983,F,6-7,215,March 19 1954,Indiana University
Sean May\mayse01,2006,2010,F,6-9,266,April 4 1984,University of North Carolina
Lee Mayberry\maybele01,1993,1999,G,6-1,172,June 12 1970,University of Arkansas
Clyde Mayes\mayescl01,1976,1977,F,6-8,225,March 17 1953,Furman University
Tharon Mayes\mayesth01,1992,1992,G,6-3,175,September 9 1968,Florida State University
Bill Mayfield\mayfibi01,1981,1981,F,6-7,205,October 17 1957,University of Iowa
Ken Mayfield\mayfike01,1976,1976,G,6-2,185,May 11 1948,Tuskegee University
Eric Maynor\maynoer01,2010,2014,G,6-3,175,June 11 1987,Virginia Commonwealth University
O.J. Mayo\mayooj01,2009,2016,G,6-5,210,November 5 1987,University of Southern California
Travis Mays\maystr01,1991,1993,G,6-2,190,June 19 1968,University of Texas at Austin
Matt Mazza\mazzama01,1950,1950,F,6-3,210,September 23 1923,Michigan State University
Luc Mbah a Moute\mbahalu01,2009,2019,F,6-8,230,September 9 1986,University of California Los Angeles
Bob McAdoo*\mcadobo01,1973,1986,C-F,6-9,210,September 25 1951,University of North Carolina
James Michael McAdoo\mcadoja01,2015,2018,F,6-9,230,January 4 1993,University of North Carolina
Ken McBride\mcbrike01,1955,1955,G-F,6-3,190,,University of Maryland Eastern Shore
Tahjere McCall\mccalta01,2019,2019,G,6-5,195,August 17 1994,Tennessee State University
Ray McCallum\mccalra01,2014,2016,G,6-3,190,June 12 1991,University of Detroit Mercy
Bob McCann\mccanbo01,1990,1998,F,6-6,244,April 22 1964,Upsala College Morehead State University
Brendan McCann\mccanbr01,1958,1960,G,6-2,178,July 5 1935,St. Bonaventure University
Mel McCants\mccanme01,1990,1990,F,6-8,240,August 19 1967,Purdue University
Rashad McCants\mccanra01,2006,2009,G,6-4,207,September 25 1984,University of North Carolina
Mike McCarron\mccarmi01,1947,1950,G,5-11,180,March 2 1922,Seton Hall University
Andre McCarter\mccaran01,1977,1981,G,6-3,190,August 25 1953,University of California Los Angeles
Willie McCarter\mccarwi01,1970,1972,G,6-3,175,July 26 1946,Drake University
Johnny McCarthy\mccarjo01,1957,1964,G,6-1,185,April 25 1934,Canisius College
Howie McCarty\mccarho01,1947,1947,F-G,6-2,190,,Wayne State University
Kelly McCarty\mccarke01,1999,1999,G-F,6-7,200,August 24 1975,University of Southern Mississippi
Walter McCarty\mccarwa01,1997,2006,F,6-10,230,February 1 1974,University of Kentucky
Amal McCaskill\mccasam01,1997,2004,F-C,6-11,235,October 28 1973,Marquette University
Patrick McCaw\mccawpa01,2017,2019,G,6-7,185,October 25 1995,University of Nevada Las Vegas
Dwayne McClain\mccladw01,1986,1986,G,6-6,185,February 7 1963,Villanova University
Ted McClain\mcclate01,1972,1979,G,6-1,180,August 30 1946,Tennessee State University
Dan McClintock\mcclida01,2001,2001,C,7-0,270,April 19 1977,Northern Arizona University
Jack McCloskey\mccloja01,1953,1953,G,6-2,190,September 19 1925,University of Pennsylvania
George McCloud\mccloge01,1990,2002,G-F,6-6,205,May 27 1967,Florida State University
CJ McCollum\mccolcj01,2014,2019,G,6-3,190,September 19 1991,Lehigh University
John McConathy\mcconjo01,1952,1952,F,6-5,195,April 9 1930,Northwestern State University
Bucky McConnell\mcconbu01,1953,1953,G,5-10,170,July 1 1928,Marshall University
T.J. McConnell\mccontj01,2016,2019,G,6-2,190,March 25 1992,Duquesne University University of Arizona
Keith McCord\mccorke01,1981,1981,G,6-7,210,June 22 1957,University of Alabama University of Alabama at Birmingham
Tim McCormick\mccorti01,1985,1992,C,6-11,240,March 10 1962,University of Michigan
Jelani McCoy\mccoyje01,1999,2008,C,6-10,245,December 6 1977,University of California Los Angeles
Paul McCracken\mccrapa01,1973,1977,G,6-4,180,September 11 1950,California State University Northridge
Chris McCray\mccrach01,2007,2007,G,6-5,192,May 27 1984,University of Maryland
Rodney McCray\mccraro01,1984,1993,F-G,6-7,220,August 29 1961,University of Louisville
Scooter McCray\mccrasc01,1984,1987,F-G,6-9,215,February 8 1960,University of Louisville
Erik McCree\mccreer01,2018,2018,F,6-8,225,December 20 1993,Louisiana Tech University
Chris McCullough\mcculch01,2016,2018,F,6-11,200,February 5 1995,Syracuse University
John McCullough\mcculjo01,1982,1982,G,6-4,190,October 5 1956,University of Oklahoma
Clint McDaniel\mcdancl01,1996,1996,G,6-4,180,February 26 1972,University of Arkansas
Xavier McDaniel\mcdanxa01,1986,1998,F,6-7,205,June 4 1963,Wichita State University
Jim McDaniels\mcdanji01,1972,1978,C-F,6-11,228,April 2 1948,Western Kentucky University
K.J. McDaniels\mcdankj01,2015,2017,G-F,6-6,205,February 9 1993,Clemson University
Doug McDermott\mcderdo01,2015,2019,F,6-8,225,January 3 1992,Creighton University
Ben McDonald\mcdonbe01,1986,1989,F,6-8,210,July 20 1962,University of California Irvine
Glenn McDonald\mcdongl01,1975,1977,F-G,6-6,190,March 18 1952,California State University Long Beach
Michael McDonald\mcdonmi01,1998,1998,C,6-10,232,February 13 1969,Utah Valley State College University of New Orleans
Roderick McDonald\mcdonro01,1971,1973,F,6-6,205,April 9 1945,Whitworth
Hank McDowell\mcdowha01,1982,1987,F-C,6-9,215,November 13 1959,University of Memphis
Antonio McDyess\mcdyean01,1996,2011,F-C,6-9,220,September 7 1974,University of Alabama
Jim McElroy\mcelrji01,1976,1982,G,6-3,190,October 4 1953,Central Michigan University
Patrick McFarland\mcfarpa01,1974,1976,F-G,6-5,185,December 7 1951,Saint Joseph's University
Ivan McFarlin\mcfariv01,2007,2007,F,6-8,240,April 26 1982,Oklahoma State University
Mel McGaha\mcgahme01,1949,1949,G,6-1,190,September 26 1926,University of Arkansas
Mitch McGary\mcgarmi01,2015,2016,F-C,6-10,255,June 6 1992,University of Michigan
JaVale McGee\mcgeeja01,2009,2019,C,7-0,270,January 19 1988,University of Nevada Reno
Mike McGee\mcgeemi01,1982,1990,G-F,6-5,190,July 29 1959,University of Michigan
Bill McGill\mcgilbi01,1963,1970,C-F,6-9,225,September 16 1939,University of Utah
George McGinnis*\mcginge01,1972,1982,F-C,6-8,235,August 12 1950,Indiana University
Jon McGlocklin\mcglojo01,1966,1976,G-F,6-5,205,June 10 1943,Indiana University
Tracy McGrady*\mcgratr01,1998,2012,F-G,6-8,210,May 24 1979,
Gil McGregor\mcgregi01,1972,1972,F,6-8,240,June 14 1949,Wake Forest University
Elton McGriff\mcgriel01,1968,1969,C,6-9,225,August 21 1942,Creighton University
Rodney McGruder\mcgruro01,2017,2019,G,6-4,200,July 29 1991,Kansas State University
Alfred McGuire*\mcguial01,1952,1955,G-F,6-2,180,September 7 1928,St. John's University
Allie McGuire\mcguial02,1974,1974,G,6-3,175,July 10 1951,Marquette University
Dick McGuire*\mcguidi01,1950,1960,G,6-0,180,January 25 1926,St. John's University
Dominic McGuire\mcguido01,2008,2013,F,6-9,220,October 20 1985,University of California California State University Fresno
